integral,method,n,I_ref,I_num,rel_error
I2,Fejer-I,4,0.946083070367183,0.9460869628826641,4.114348520846458e-06
I2,Fejer-I,8,0.946083070367183,0.9460830703683755,1.2604501529522824e-12
I2,Fejer-I,16,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I2,Fejer-I,32,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I2,Clenshaw-Curtis,4,0.946083070367183,0.946067284511196,1.6685486170692975e-05
I2,Clenshaw-Curtis,8,0.946083070367183,0.9460830703662303,1.0069753991698663e-12
I2,Clenshaw-Curtis,16,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I2,Clenshaw-Curtis,32,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I3,Gauss-Legendre,4,16.45262776550723,16.400667411204772,0.003158179656346026
I3,Gauss-Legendre,8,16.45262776550723,16.452627172208903,3.606100716895381e-08
I3,Gauss-Legendre,16,16.45262776550723,16.45262776550722,6.478078267075482e-16
I3,Gauss-Legendre,32,16.45262776550723,16.452627765507224,4.3187188447169873e-16
I3,Gauss-Lobatto,4,16.45262776550723,17.16485024709236,0.043289284346315605
I3,Gauss-Lobatto,8,16.45262776550723,16.452643207627265,9.385807698519261e-07
I3,Gauss-Lobatto,16,16.45262776550723,16.452627765507238,4.3187188447169873e-16
I3,Gauss-Lobatto,32,16.45262776550723,16.452627765507216,8.637437689433975e-16
I3,Gauss-Radau,4,16.45262776550723,,
I3,Gauss-Radau,8,16.45262776550723,,
I3,Gauss-Radau,16,16.45262776550723,,
I3,Gauss-Radau,32,16.45262776550723,,
I3,Fejer-I,4,16.45262776550723,17.024253246444392,0.03474371930638146
I3,Fejer-I,8,16.45262776550723,16.45409856640846,8.93961087671656e-05
I3,Fejer-I,16,16.45262776550723,16.452627768954038,2.094988917977987e-10
I3,Fejer-I,32,16.45262776550723,16.45262776550723,0.0
I3,Clenshaw-Curtis,4,16.45262776550723,15.752471117501592,0.0425559161724615
I3,Clenshaw-Curtis,8,16.45262776550723,16.451228390061313,8.505482928696346e-05
I3,Clenshaw-Curtis,16,16.45262776550723,16.452627764398812,6.737028649004712e-11
I3,Clenshaw-Curtis,32,16.45262776550723,16.45262776550723,0.0
I4,Gauss-Legendre,4,0.7965995992970532,0.796599599256967,5.032158772324158e-11
I4,Gauss-Legendre,8,0.7965995992970532,0.7965995992970528,4.1811081461936037e-16
I4,Gauss-Legendre,16,0.7965995992970532,0.7965995992970528,4.1811081461936037e-16
I4,Gauss-Legendre,32,0.7965995992970532,0.7965995992970526,6.96851357698934e-16
I4,Gauss-Lobatto,4,0.7965995992970532,0.7965996607865383,7.718995242343005e-08
I4,Gauss-Lobatto,8,0.7965995992970532,0.7965995992970528,4.1811081461936037e-16
I4,Gauss-Lobatto,16,0.7965995992970532,0.796599599297053,1.393702715397868e-16
I4,Gauss-Lobatto,32,0.7965995992970532,0.7965995992970529,2.787405430795736e-16
I4,Gauss-Radau,4,0.7965995992970532,,
